method,variant,seed,perm,bary_file,nobary_file,n_samples_bary,n_samples_nobary,n_dim,fom3_bary,fom3_nobary,fom3_ratio_bary_over_nobary,fom3_bary_valid,fom3_nobary_valid,logdet_cov3_bary,logdet_cov3_nobary,d_truth,d_shift,d_truth_valid,d_shift_valid,delta_truth_om,delta_truth_s8,delta_truth_w0,delta_shift_om,delta_shift_s8,delta_shift_w0,norm_truth_om,norm_truth_s8,norm_truth_w0,norm_shift_om,norm_shift_s8,norm_shift_w0
l1,tomo4_20deg160,43,13,l1_tomo4_20deg160_bary_perm0013_s43.npy,l1_tomo4_20deg160_nobnt_s43.npy,100000,100000,6,16476.398497347778,8806.529616175296,1.870929777728214,True,True,-19.419368483596614,-18.166497454314268,1.7387703383703457,1.1979884906462366,True,True,0.003590395450592032,-0.03058406352996823,-0.19735324382781982,-0.01686793565750122,-0.0046193599700927734,-0.16915678977966309,0.08717486559047068,-0.6024172188581444,-1.1766686848935106,-0.4095537786760808,-0.09098797428802032,-1.0085544757728802
l1,tomo4_20deg160,43,14,l1_tomo4_20deg160_bary_perm0014_s43.npy,l1_tomo4_20deg160_nobnt_s43.npy,100000,100000,6,17638.247914128384,8806.529616175296,2.002860227907657,True,True,-19.555650000063743,-18.166497454314268,1.4025503523702836,1.3586014667512472,True,True,-0.023150781393051156,0.03876117229461673,-0.16210496425628662,-0.04360911250114441,0.06472587585449219,-0.13390851020812988,-0.5621013852167237,0.7634825107698376,-0.9665097538126516,-1.058830029483275,1.2749117553399616,-0.798395544692021
l1,tomo4_20deg160,43,15,l1_tomo4_20deg160_bary_perm0015_s43.npy,l1_tomo4_20deg160_nobnt_s43.npy,100000,100000,6,18746.935626804756,8806.529616175296,2.128754054533755,True,True,-19.67757116960962,-18.166497454314268,1.6491716998191923,1.537543130395164,True,True,-0.011980260014534005,-0.02439960479736325,-0.18543517589569092,-0.03243859112262726,0.001565098762512207,-0.15723872184753418,-0.29088092687218653,-0.4806013448429648,-1.1056102262222942,-0.787609571138738,0.030827899727159193,-0.9374960171016636
l1,tomo4_20deg160,43,16,l1_tomo4_20deg160_bary_perm0016_s43.npy,l1_tomo4_20deg160_nobnt_s43.npy,100000,100000,6,14548.759073595853,8806.529616175296,1.652042258152812,True,True,-19.170521963848813,-18.166497454314268,2.3246054545070365,1.7247903287745692,True,True,0.012639214992523184,-0.05248239278793332,-0.23452508449554443,-0.007819116115570068,-0.02651768922805786,-0.2063286304473877,0.30688036549305103,-1.0337507006336109,-1.398296361364451,-0.18984827877350044,-0.5223214560634868,-1.2301821522438203
l1,tomo4_20deg160,43,17,l1_tomo4_20deg160_bary_perm0017_s43.npy,l1_tomo4_20deg160_nobnt_s43.npy,100000,100000,6,12097.97092844037,8806.529616175296,1.3737500985881608,True,True,-18.801586051317095,-18.166497454314268,0.3518189609709955,1.1548971233911478,True,True,-0.0021903610229492276,0.00911257028579715,0.03240865468978882,-0.02264869213104248,0.03507727384567261,0.06060510873794556,-0.05318200471168693,0.17949116679149754,0.19322838760264724,-0.5499106489782384,0.6909204113616215,0.3613425967232778
l1,tomo4_20deg160,43,18,l1_tomo4_20deg160_bary_perm0018_s43.npy,l1_tomo4_20deg160_nobnt_s43.npy,100000,100000,6,14841.167610930102,8806.529616175296,1.6852458638952115,True,True,-19.210320387216154,-18.166497454314268,2.573766387215012,1.844446454171435,True,True,0.03502445459365844,-0.07578244447708127,-0.1910865306854248,0.014566123485565186,-0.04981774091720581,-0.16289007663726807,0.8503943823453366,-1.4926940429423852,-1.139304996469417,0.3536657380787851,-0.9812647983722612,-0.9711907873487866
l1,tomo4_20deg160,43,19,l1_tomo4_20deg160_bary_perm0019_s43.npy,l1_tomo4_20deg160_nobnt_s43.npy,100000,100000,6,15945.917593872442,8806.529616175296,1.8106925530102067,True,True,-19.353916250449416,-18.166497454314268,1.3768023840992618,1.6663731184226664,True,True,-0.03987007796764375,0.05857989549636844,-0.1597059965133667,-0.060328409075737,0.0845445990562439,-0.13150954246520996,-0.9680462043081676,1.1538537935400262,-0.952206516812776,-1.464774848574719,1.6652830381101502,-0.7840923076921454
l1vmim,tomo4_20deg160,41,0,l1vmim_tomo4_20deg160_bary_perm0000_s41.npy,l1vmim_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,11664.241941716857,10326.256876222484,1.1295711584102903,True,True,-18.72856639327185,-18.48489028354768,1.4627548925399245,1.5354128792217814,True,True,0.018918236494064322,-0.0466317796707153,-0.06233334541320801,-0.007519453763961792,-0.02095693349838257,-0.1405467987060547,0.47929342019885357,-0.9344052078184124,-0.3046218425070346,-0.19050532081503307,-0.4199339578946083,-0.6868494622981005
l1vmim,tomo4_20deg160,41,1,l1vmim_tomo4_20deg160_bary_perm0001_s41.npy,l1vmim_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,11664.241941716857,10326.256876222484,1.1295711584102903,True,True,-18.72856639327185,-18.48489028354768,1.4627548925399245,1.5354128792217814,True,True,0.018918236494064322,-0.0466317796707153,-0.06233334541320801,-0.007519453763961792,-0.02095693349838257,-0.1405467987060547,0.47929342019885357,-0.9344052078184124,-0.3046218425070346,-0.19050532081503307,-0.4199339578946083,-0.6868494622981005
l1vmim,tomo4_20deg160,41,2,l1vmim_tomo4_20deg160_bary_perm0002_s41.npy,l1vmim_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,11664.241941716857,10326.256876222484,1.1295711584102903,True,True,-18.72856639327185,-18.48489028354768,1.4627548925399245,1.5354128792217814,True,True,0.018918236494064322,-0.0466317796707153,-0.06233334541320801,-0.007519453763961792,-0.02095693349838257,-0.1405467987060547,0.47929342019885357,-0.9344052078184124,-0.3046218425070346,-0.19050532081503307,-0.4199339578946083,-0.6868494622981005
