method,variant,seed,perm,bary_file,nobary_file,n_samples_bary,n_samples_nobary,n_dim,fom3_bary,fom3_nobary,fom3_ratio_bary_over_nobary,fom3_bary_valid,fom3_nobary_valid,logdet_cov3_bary,logdet_cov3_nobary,d_truth,d_shift,d_truth_valid,d_shift_valid,delta_truth_om,delta_truth_s8,delta_truth_w0,delta_shift_om,delta_shift_s8,delta_shift_w0,norm_truth_om,norm_truth_s8,norm_truth_w0,norm_shift_om,norm_shift_s8,norm_shift_w0
cnn,tomo4_20deg160,42,3,cnn_tomo4_20deg160_bary_perm0003_s42.npy,cnn_tomo4_20deg160_nobnt_s42.npy,100000,100000,6,416402.04140712897,420408.67713118426,0.9904696645383343,True,True,-25.878813036451305,-25.897965115901535,3.1621174199270197,1.430847219893862,True,True,0.031129261255264273,-0.03291865825653073,0.12246716022491455,0.016366660594940186,-0.011352121829986572,0.06485265493392944,2.399326727313835,-2.118001121651012,2.2341049027002353,1.2614808260402697,-0.7304005704503599,1.1830733567670546
cnn,tomo4_20deg160,42,4,cnn_tomo4_20deg160_bary_perm0004_s42.npy,cnn_tomo4_20deg160_nobnt_s42.npy,100000,100000,6,409211.8071046791,420408.67713118426,0.9733667009374992,True,True,-25.843976333520686,-25.897965115901535,0.9892308745811497,1.9948058786743468,True,True,0.002701869010925284,0.007365915775299103,-0.00036466121673583984,-0.012060731649398804,0.02893245220184326,-0.05797916650772095,0.20824993174284678,0.4739262989546452,-0.006652325493936237,-0.9295959695307184,1.861526850155297,-1.057683871427117
cnn,tomo4_20deg160,42,5,cnn_tomo4_20deg160_bary_perm0005_s42.npy,cnn_tomo4_20deg160_nobnt_s42.npy,100000,100000,6,420404.2200778984,420408.67713118426,0.9999893982842689,True,True,-25.897943912357675,-25.897965115901535,1.3208743198263633,0.5700750497958648,True,True,0.009543915987014762,-0.017996695041656463,0.03986787796020508,-0.005218684673309326,0.0035698413848876953,-0.01774662733078003,0.7356092559700519,-1.1579153678500114,0.7272890254625889,-0.40223664530351333,0.22968518335064061,-0.3237425204705919
cnn,tomo4_20deg160,42,6,cnn_tomo4_20deg160_bary_perm0006_s42.npy,cnn_tomo4_20deg160_nobnt_s42.npy,100000,100000,6,421822.13199718343,420408.67713118426,1.00336209727079,True,True,-25.90467803201743,-25.897965115901535,2.6596909050185142,1.7225043845972952,True,True,0.0015676522254943759,-0.04064812898635861,0.010110080242156982,-0.013194948434829712,-0.019081592559814453,-0.047504425048828125,0.12082875507126258,-2.6153187081688727,0.18443295161097917,-1.0170171462023025,-1.2277181569682207,-0.8665985943222015
cnn,tomo4_20deg160,42,7,cnn_tomo4_20deg160_bary_perm0007_s42.npy,cnn_tomo4_20deg160_nobnt_s42.npy,100000,100000,6,421658.7173940642,420408.67713118426,1.0029733931074165,True,True,-25.903903078536118,-25.897965115901535,2.5518351676140525,1.743162155486198,True,True,0.0005776488780975253,-0.03925212860107419,0.008298814296722412,-0.014184951782226562,-0.01768559217453003,-0.049315690994262695,0.044523009423741544,-2.5254994221330858,0.15139096614028053,-1.0933228918498237,-1.1378988709324338,-0.8996405797929002
cnn,tomo4_20deg160,42,8,cnn_tomo4_20deg160_bary_perm0008_s42.npy,cnn_tomo4_20deg160_nobnt_s42.npy,100000,100000,6,421743.18881733064,420408.67713118426,1.0031743200336705,True,True,-25.90430370093418,-25.897965115901535,2.2550477212793596,2.137457553810167,True,True,-0.011490861177444467,-0.02727576732635495,-0.0511469841003418,-0.026253461837768555,-0.005709230899810791,-0.1087614893913269,-0.8856724904845922,-1.754935008010261,-0.9330479103708174,-2.0235183917581576,-0.36733445680960913,-1.984079456303998
cnn,tomo4_20deg160,42,9,cnn_tomo4_20deg160_bary_perm0009_s42.npy,cnn_tomo4_20deg160_nobnt_s42.npy,100000,100000,6,419973.3216192028,420408.67713118426,0.9989644468925992,True,True,-25.89589293657559,-25.897965115901535,3.1454113243017927,2.6358078810651784,True,True,-0.00901229143142701,-0.045769598484039276,-0.027982234954833984,-0.0237748920917511,-0.024203062057495117,-0.08559674024581909,-0.6946336287407895,-2.944836334800484,-0.5104654030214583,-1.8324795300143548,-1.5572357835998318,-1.5614969489546389
cnn,tomo4_20deg160,42,10,cnn_tomo4_20deg160_bary_perm0010_s42.npy,cnn_tomo4_20deg160_nobnt_s42.npy,100000,100000,6,421191.2511615947,420408.67713118426,1.0018614602242528,True,True,-25.901684575609895,-25.897965115901535,1.6750038428303855,0.4883423574797267,True,True,0.011553248167037955,-0.017747249603271453,0.039378464221954346,-0.003209352493286133,0.003819286823272705,-0.01823604106903076,0.8904810457002413,-1.1418659373363795,0.7183609044049376,-0.24736485557332386,0.2457346138642723,-0.33267064152824316
cnn,tomo4_20deg160,42,11,cnn_tomo4_20deg160_bary_perm0011_s42.npy,cnn_tomo4_20deg160_nobnt_s42.npy,100000,100000,6,417102.05487153394,420408.67713118426,0.9921347430737769,True,True,-25.882172413481904,-25.897965115901535,0.8329469245159197,1.4750996060500612,True,True,-0.0027408397197723477,-0.011284317970275848,-0.011891603469848633,-0.017503440380096436,0.01028221845626831,-0.06950610876083374,-0.2112536478462385,-0.7260380399425713,-0.21693235610399325,-1.3490995491198037,0.6615625112580805,-1.267963902037174
cnn,tomo4_20deg160,42,12,cnn_tomo4_20deg160_bary_perm0012_s42.npy,cnn_tomo4_20deg160_nobnt_s42.npy,100000,100000,6,425591.45513476495,420408.67713118426,1.0123279520274113,True,True,-25.92247027917415,-25.897965115901535,2.7085613190880715,2.5230193380987633,True,True,-0.007240632772445688,-0.03808650016784665,-0.012705683708190918,-0.022003233432769775,-0.01651996374130249,-0.07032018899917603,-0.5580808227710679,-2.4505023700125164,-0.23178319977777245,-1.6959267240446332,-1.0629018188118646,-1.282814745710953
cnn,tomo4_20deg160,42,13,cnn_tomo4_20deg160_bary_perm0013_s42.npy,cnn_tomo4_20deg160_nobnt_s42.npy,100000,100000,6,424179.79540055414,420408.67713118426,1.0089701247250735,True,True,-25.91582538017625,-25.897965115901535,2.645363213545245,1.8873781089350932,True,True,-0.0016751086711883634,-0.04006752014160153,-0.002343893051147461,-0.01643770933151245,-0.018500983715057373,-0.05995839834213257,-0.12911109495917533,-2.5779620767152798,-0.04275842558410405,-1.2669569962327405,-1.1903615255146278,-1.0937899715172847
